Person,Work,Work (Drepung),No of folios,No of folios (Drepung),TibSchol Ref #,Drepung Cat #,BDRC #,Author,Author (Drepung),Scribe,Script (Drepung),Place,Topic,Topic (Drepung),Topic signature),Bundle (Drepung),Bundle signature,Folio size,Notes
‘Bre Shes rab ‘bar,-,dPal yang dag par sbyor ba'i rgyud kyi rgyal po'i ti ka,-,381,-,10637prima,,-,dGe slong shes rab 'bar ba,,bru tsha,,-,ma,-,748,-,34.5 x 8,Commentary on Heruka tantra? Can't find online
‘Jam dbyangs Rin chen grags,-,Theg pa chen po mdo sde rgyan gyi legs bshad bstan pa'i nyi ma bzhugs pa'i dbu phyogs lags,-,152,-,15951,,-,Lung dang rigs pa smra ba'i dge slong 'jam rin gyis,,dpe tshugs,bDe ba cen,-,tsha,-,103,-,43 x 7.8,"Commentary of Mahayanasutralankara. This appears to be a copy of Theg pa chen po mdo sde rgyan gyi legs bshad bstan pa'i nyi ma, based on a text sharing the same name of BDRC (MW8LS17391) which is labelled as coming from the gNas bcu lha khang collection"
‘Jam gsar ba Shes rab ‘od zer,-,bDag nyid la bskul ba gser lcags rin chen gyi 'bras bcas ,-,1,-,12561,MW8LS18967 (modern typeset edition),-,Jam gsar shes rab 'od zer,,dpe tshugs,,-,ma,-,935,-,43 x 7.5,"Found in the modern typeset edition (2014; MW8LS18967) of his works, along with the two others in this spreadsheet + thar lam sgron me; sbyor drug gi man ngag rje btsun rgwa los zhus gtugs mdzad pa; bslab bya zhal chems kyi yi ge; gsung mgur; par byang smon tshig  "
bCom ldan rigs pa’i ral gri,-,bDe ba can gyi stod pa 'dzam bu'i sil snyan ,-,3,-,19271,,,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,-,la,-,501,-,43 x 6.5,"appears to be a version of 18894? A copy of this work in his Collected Works (2006; http://purl.bdrc.io/resource/MW00EGS1017426_5B7D3F) is 3 folios in length and contains additional verses (possibly glosses, although needs further inspection as this is a typed version)"
bCom ldan rigs pa’i ral gri,-,dPal ngag gi dbang phyug bsnyen pa bcom ldan ral gri zhes yongs su grags pa'i mkhas pa chen po de'i mdzad pa'i bsngo ba brgyan gyi me tog,-,11,-,19257,-,-,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,-,la,-,501,-,25 x 6,version of 18893? 
bCom ldan rigs pa’i ral gri,- ,sLob dpon A bhya'i sbyor drug gi dgongs pa snye ma drug pa nas bcom ldan ral gris bsdus pa,-,2,-,19263,-,-,Mang du thos pa'i dge slong bcom ldan ral gri,,dpe tshugs,,-,la,-,501,-,34.5 x 6.5,This text is not included in his collected works (2006)
bCom ldan rigs pa’i ral gri,-,Yum shes rab kyi pha rol tu phyin pa'i man ngag gi bstan bcos bcom ldan ral gris mdzad pa rnal 'byor dbang phyug gi bde sbyin grub pa bkris,-,3,-,19255,-,-,Sh+'akya'i dge slong mang du thos pa bcom ldan ral gri,,dpe tshugs,,-,la,-,501,-,35.5 x 6,Included in his Collected works (2006)
bCom ldan rigs pa’i ral gri,-,gtsug gtor dri med,-,16,-,11026 prima,-,-,bcom ldan rig pa'i ral gri,,bris ma dbu can,,-,ma,-,653,-,39 x 7,
bCom ldan rigs pa’i ral gri,-,rgyud sde rgyan gyi me tog,-,4,-,11027 prima,-,-,bcom ldan ral gri,,dpe tshugs,,-,ma,-,653,-,33 x 5.5,
bCom ldan rigs pa’i ral gri,-,chos mngon pa kun las btus pa rgyan gyi me tog,-,189,-,16071,-,-,Sh+'akya'i dge slong  bcom ldan ral gri,,bru tsha,,-,dza,-,8,-,64 x 9.5,"Topic and bundle correspond to work found on BDRC (WA0XL8E11A661793F), but different number of folios given. Another version also available on BDRC (W24700) + another version in Drepung catalogue (16094)"
bCom ldan rigs pa’i ral gri,-,chos mngon pa kun las btus pa'i rgyan gyi me tog,-,171,-,16094,-,-,Mang du thos pa sh+'akya'i dge slong  bcom ldan ral gri,,bru tsha,,-,dza,-,21,-,66 x 9,Another version in Drepung catalogue (16094) + another version available on BDRC (W24700)
bCom ldan rigs pa’i ral gri,-,theg pa thun mong chos mngon pa kun btus rgyan gyi me tog,-,314,-,16084,-,-,Sh+a'kya'i dge slong  bcom ldan ral gri,,bris ma dbu can,,-,dza,-,14,-,57.6 x 8.2,Another version of Drepung karchag 16071?
bCom ldan rigs pa’i ral gri,-,tshad ma rnam nges rgyan gyi me tog,-,117,-,16396,-,-,Sh+'akya'i dge slong  mang du thos pa bcom ldan ral gris,,dpe tshugs,,-,zha,-,26,-,69 x 8.2,Another version of 3_062_03 and 2_054_01?
bCom ldan rigs pa’i ral gri,-,tshad ma'i bstan bcos rgyan gyi me tog,-,102,-,16464,-,-,Sh+'akya'i dge slong bcom ldan ral gris,,dpe tshugs,,-,zha,-,45,-,40 x 9,Other versions of this mss found on BDRC: WA00KG03838
bCom ldan rigs pa’i ral gri,-,phags pa'i bden pa bzhi rnam par bshad pa rgyan gyi me tog,-,19,-,18288,-,-,Sh+'akya'i dge slong bcom ldan ral gri,,dpe tshugs,,-,la,-,154,-,40 x 8,
bCom ldan rigs pa’i ral gri,-,dgyes pa'i rdo rje'i don yang dag par bsdus pa,-,12,-,3850,-,-,bcom ldan rig pa'i ral gri,,bru tsha,,-,ga,-,188,-,43 x 7,"Folio size suggests part of collection (Drepung karchag #3850, 3851 and 3852)"
bCom ldan rigs pa’i ral gri,-,dpal dgyes pa rdo rje'i sgrub thabs rgyan gyi me tog,-,4,-,3851,-,-,bcom ldan rig pa'i ral gri,,bru tsha,,-,ga,-,188,-,43 x 7,"Folio size suggests part of collection (Drepung karchag #3850, 3851 and 3852). A work with the similar name is found in his collected works (2006, ta 4)"
bCom ldan rigs pa’i ral gri,-,dgyes pa rdo rje rgyan gyi me tog,-,81,-,3852,-,-,bcom ldan rig pa'i ral gri,,bru tsha,,-,ga,-,188,-,43 x 7,"Folio size suggests part of collection (Drepung karchag #3850, 3851 and 3852). Appears to be another version of 2_056_22?"
bCom ldan rigs pa’i ral gri,-,bstan pa rgyan me nas lung bsdus,-,4,-,6243,-,-,bcom ldan rig pa'i ral gri,,dpe tshugs,,-,ma,-,6,-,45 x 7,
bCom ldan rigs pa’i ral gri,-,yang dag pa'i sgrub thabs | h+'uM ka ra'i lo rgyus bcas ,-,3,-,12344,-,-,bcom ldan rig pa'i ral gri,,dpe tshugs,,-,ma,-,922,-,62 x 9.2,Work titled yang dag grub pa'i sgrub thabs is found in his collected works (2006; ta 7)
bCom ldan rigs pa’i ral gri,-,bden gnyis kyi bsdus don rgyan gyi me tog,-,4,-,15686,-,-,bcom ldan rig ral,,bru tsha,,-,tsa,-,115,-,42.5 x 6.5,
bCom ldan rigs pa’i ral gri,-,sku gzugs kyi phyag tshad rgyan gyi me tog,-,24,-,16899,-,-,bcom ldan rig ral & maM g+ha la shri la,,dpe tshugs,,-,ya,-,1,-,47.3 x 8.7,Found in his collected works (2006;  nya 4)
bCom ldan rigs pa’i ral gri,-,chos dang chos nyid rnam 'byed rgyan gyi me tog,-,8,-,16045,-,-,bcom ldan rig ral,,bru tsha,,-,tsha,-,132,-,33.5 x 6,Found in his collected works (2006; ca 1)
