source,tibschol_refs,zotero_refs,xml_id,status,location,xml_content
3_061_06 = 3_076_07_I_R_M_skyo ston_dbus mtha khrid.xml,3_061_06,,ex61062023-09-26-095619,unreviewed,7b7,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""7b7""/> sbyar || ||<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex61062023-09-26-095619"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4052"">bla ma snar thang pa brgyad par byon pa</rs> zhes <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:6458"">btsun pa ze'u chos kyi rgyal mtshan</rs> la gnang ste <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:4411"">daM pas bsngags pa snar thang gyi dben <abbr>gnas</abbr></rs><abbr>su</abbr> bris shis [shing ?] phyag dpe la btugs (=gtugs?) ste dag par <abbr>byas so</abbr>||<anchor xml:id=""a1""/></seg></TEI>"
3_076_13_spyi_don_W1PD153536-v16_img513-514_tei.xml,3_076_13,,ex76132024-10-25-14-49,unreviewed,4,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""4""/>cha 'di nyid du gzhan gyis bar du ma chod pas byang chub du lung bstan pa bcom ldan 'das byams pa yin pas | ngas dang po byams ba bsgrubs la de nas byams pa'i zhal mthong nas mdo'i ste dbye bar bya'o snyam nas | byams pa bsgrubs pas lo dbu na byams pa'i zhal mthongo |<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex76132024-10-25-14-49"" status=""unreviewed""> 
            | <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref="""">kha cig</rs> dag lo bcu' gnyis su bsgrubs pas byams pa'i zhal mthong par 'dod de ||</seg> 
            
            skye ma thogs med nags</TEI>"
3_076_13_spyi_don_W1PD153536-v16_img513-514_tei.xml,3_076_13,,ex76132024-10-25-14-56,unreviewed,3,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""3""/>don gyi mdo'i sde ne rgyud bla ma nas bshad pa'i gzungs kyi dbang phyug rgyal po'i mdo' dang | de bzhin gskhegs pa'i snying po'i mdo' lasogs pa yin no zhes 'dod do |<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex76132024-10-25-14-56"" status=""unreviewed"">| yang <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref="""">kha cig</rs> ni <rs type=""person"" ana=""corpusmd:named_reference"" ref="""">lo tsha ba</rs>'i dgongs pa de ltar me 'dod de |</seg>
             rgyas 'bring gsum nges don gyi mdo' ste yin yang | mngon rtogs rgyan drang don gyi mdo' 'grel pa yin sa mi 'gal te | shes drab pa ros phyin pa</TEI>"
3_076_13_spyi_don_W1PD153536-v16_img513-514_tei.xml,3_076_13,,ex76132024-10-25-15-04,unreviewed,9,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""9""/>'di rnams la || stag du lus dang gsung yid || gus par btud te phyag 'tshal lo ||<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex76132024-10-25-15-04"" status=""unreviewed"">
            <rs type=""person"" ana=""corpusmd:named_reference"" ref=""3786"">lo tsa ba dge slong blo ldan she rab</rs> kyis bsgyur ba'o ||</seg></TEI>"
1_027_01_bSod nams dpal_ sher phyin rnam bshad lam gyi rim pa snang ba.xml,1_027_01,,ex2701_2024-09-1114-33-12,unreviewed,90a4 - 90a5,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""90a4""/> kyang de nas tshe rabs thaMd du | sgral ba'i yuM 'di rtson pas ngas bsgrub cing || byaMs mgon chos 3 doMr kyi rnaMs bzung te || rgyal snas spyod pa yongsu rdzogs par shog ||<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex2701_2024-09-1114-33-12"" status=""unreviewed"" ana=""corpusmd:colophon""><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4659"">shes rab kyi pha rol tu phyin pa <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:3711"">mngon par <abbr>rtoGS</abbr> pa'i rgyan 'grel pa</rs> bcas pa'i rnaM bshad laM gyi rim pa snang ba</rs> zhes bya ba 'di <rs type=""person"" ana=""corpusmd:unnamed_reference"">thams cad mkhyen pa 2 pa graGS pa rgya mtsho</rs>'i<anchor xml:id=""a2""/> <lb n=""90a5""/> zhabs gdul [=rdul] spyi bos len cing lung riGS kyi chos la <abbr>blo gros</abbr> cung zhig rgyas pa <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:3927"">lum bu ba bsod naMs dpal</rs> gyis <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5658"">'tshal gung thang gi gtsug lag khang chen po</rs>r <anchor xml:id=""a3""/> sbyar ba ni re shig rdzogs s+ho ||</seg></TEI>"
1_019_09_Shes rab bum_dul ba sdom tshig bsdus don gsal byed me long.xml,1_019_09,,ex19092024-09-2415-23-12,unreviewed,N004 - 8a5,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""N004""/>
mi 'jeg bzhi | nyes byas brgyar sa bcu 2 bstan zin to ||<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex19092024-09-2415-23-12"" status=""unreviewed""><milestone unit=""section"" n=""[Colophon (8a4-8) (p. 609:4-8)]""/>
           <rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4612"">sdom tshig gsal byed don gsal</rs> 'di | <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:6859"">blo gsal don grub bkra shis</rs> kyis bskul nas | <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4608"">shakya'i dge slong shes <lb n=""8a5""/>rab 'bum</rs> gyis sbyar ba'o || </seg></TEI>"
1_019_09_Shes rab bum_dul ba sdom tshig bsdus don gsal byed me long.xml,1_019_09,,ex19092024-09-2415-26-29,unreviewed,8a8,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""8a8""/>gsal me long<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex19092024-09-2415-26-29"" status=""unreviewed""> dge'o |
               bkrashis par gyur cig || <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:6042"">sangs brgyas bzang po</rs>'i slab bya go bder bris pa pa
            nyin</seg></TEI>"
2_059_06_thogs_med_bstod_W1PD89084-I1KG13428.xml,2_059_06,,ex59062024-12-1912-58-48,unreviewed,N006 - N007,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex59062024-12-1912-58-48"" status=""unreviewed"" ana=""corpusmd:colophon"">'di ni | yul
				<lb n=""N006""/>mchog tu gyur pa la dad pa dang gus pa lhur len pa'i | <rs type=""person"" ana=""corpusmd:named_reference"">dge ba'i bshes gnyen mi nyag blo ldan dpal</rs> zhes bya ba || 
            <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:"">chos kyi rje dpal ldan bla ma dam pa</rs> la bstod pa gsol 'debs dang bcas pa 1 gyis zhes bskul ba'i rjes su <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:5066"">slob dpon dpal ldan ye shes</rs> kyis kyang bskul ba'i ngor ||
            chos kyi rje dpal ldan la ma dam pa de nyid kyi bka' 'bangs su gyur pa | ma Ni ba <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4066"">thogs med</rs> kyis | | <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:5692"">dngul chu'i chos rdzong</rs> du <lb n=""N007""/>bkod pa'i yige pa'ang <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:5066"">slob dpon dpal ldan ye shes</rs> kyis bgyiso || | shub+haM || | </seg></TEI>"
2_052_06_C_bCom ldan Ral gri_dbu ma rgyan bsdus don_gsung bum.xml,2_052_06,,ex52062023-10-251,unreviewed,[1a5–1b1],"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex52062023-10-251"" status=""unreviewed""><lb n=""[1a5–1b1]""/><rs type=""work"" ana=""corpusmd:named_reference"" ref=""db:4918"">dbu ma rgyan gyi bsdus don</rs> <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4006"">bcom ldan ral gri</rs>s bkod do ||||</seg></TEI>"
2_050_14 ye shes kyi gzhag sa.19_04_2022.xml,2_050_14,,ex50142023-09-0816-07-29,reviewed,5b5,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""5b5""/> ci yin tshig du zhus pa zin bris<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex50142023-09-0816-07-29"" status=""reviewed"" ana=""corpusmd:colophon""><note type=""editorial"">(1st post-colophon annotation)</note><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:4052"">bla ma snar thang pa brgyad pa byon pa</rs> des <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:6458""> btsun pa chos kyi rgyal mtshan</rs> la gnang ste yi ger bris pa'o || zhus dag par <abbr>byas so</abbr> || 
         <milestone unit=""section"" n=""[Post-colophon 2nd annotations (nya_5b5, p. 304), in smaller script]""/><note type=""editorial"">(2nd post-colophon annotation)</note>
            <rs type=""place"" ana=""corpusmd:named_reference"" ref=""db:4411"">daM pas bsngags pa'i gnas mchog snar thang</rs> du bris shing <abbr>zhus so</abbr> || ||</seg></TEI>"
2_059_07.xml,2_059_07,,ex59072025-02-2418-15-53,unreviewed,,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex59072025-02-2418-15-53"" status=""unreviewed""/></TEI>"
3_064_01_Khu_Slob dpon gyi lugs kyis bden pa gnyis.xml,3_064_01,,ex64012023-05-1211-22-49,unreviewed,1.2 - 1.3,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""1.2""/>gyis bstan bcos pa mi shes rabs skyed sgyu ba bdun po 'di dngos su bden ba gnyis gtan la 'bebs la shugs la dra ba dang nges pa'i don gyi rnam par dbye ba 'thad pa la |<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex64012023-05-1211-22-49"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:"">slob dpon klu grub</rs> kyi dongs pa 'grel pa la mi mthun pa du ma yod pa yin te | <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:"">slob dpon legs ldan 'byed</rs> lasogs pas slob dpon gyi thugs dngos pa rgyud du bkrel la || <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:"">slob dpon zla ba grags pa</rs> lasogs pas thal du bkrel <lb n=""1.3""/>lo || <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:"">slob dpon klu grub</rs> kyis 'thal 'gyur du <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:"">zla ba grags pa</rs> la bkral la | <rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:"">zla grags</rs> kyi thugs dgongs <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:"">dge bshes lo tsa ba</rs>s <!--TODO =Nag tsho--> bkrel bas <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:""><!--TODO =Nagarjuna-->slob dpon</rs> gyi lugs kyis bden pa gnyis la don rnams pa drug ste |</seg></TEI>"
3_064_01_Khu_Slob dpon gyi lugs kyis bden pa gnyis.xml,3_064_01,,ex64012023-05-1215-05-46,unreviewed,2.10,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""2.10""/>tha snyad du brtags pa yin gsung | de ltar ma gzigs paʼi tshul du gzig pa de | de bzhi nyid gzigs pa yin par yang btsom bdan 'das kyis chos mang dag par sbyad pa'i mdos pas | 'ga' yang mthod pa myed pa ni de lo na mthong ba'i zhes gsungs la ||<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex64012023-05-1215-05-46"" status=""unreviewed"">des don bsdus nas <rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:"">jo bo</rs>s kyang | <quote source=""db:"" n=""7ab""><!--Satyadvayāvatāra, v.7ab: ma mthong ba nyid de mthong bar / / shin tu zab pa’i mdo las gsungs /.-->ma mthong bar nyid de mthong par || shin rta zab pa'i mdo las gsungs</quote> zhes bshad do ||</seg></TEI>"
3_064_01_Khu_Slob dpon gyi lugs kyis bden pa gnyis.xml,3_064_01,,ex64012023-05-1211-29-45,unreviewed,4.2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""4.2""/>zhes bshad do ||<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex64012023-05-1211-29-45"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:"">dge bshes</rs> kyi zhal nas tshigs su bcad pa 'dis don dam pa'i ngo bo bstan pa yin gsung |</seg></TEI>"
3_064_01_Khu_Slob dpon gyi lugs kyis bden pa gnyis.xml,3_064_01,,ex64012023-05-1211-29-47,unreviewed,4.2,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""4.2""/>zhes bshad do ||<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex64012023-05-1211-29-47"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:named_reference"" ref=""db:"">slob dpon</rs> gyi zhal nas bden pa gnyis ga'i ngo bo ston pa gsung |</seg></TEI>"
3_064_01_Khu_Slob dpon gyi lugs kyis bden pa gnyis.xml,3_064_01,,ex64012023-05-1214-29-53,unreviewed,4.9 - 4.10,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""4.9""/>dag pa'i kun rdzob kyi mtshan nyid yin te |<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex64012023-05-1214-29-53"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:"">slob dpon</rs> gyi zhal nas dbang po gsal ba ste rab rib lasogs pas dbang po nyams par ma byas shing yul ji lta ba bzhin du 'dzin pa dang | de yang 'jig rten rnams kyis bden par byed pa de yang dag pa'i kun rdzob kyi mtshan nyid <lb n=""4.10""/>du shes par bya ste || de skad du yang <rs type=""work"">'jug pa</rs> las |<quote source=""db:"" n=""6.25"">gnod pa myed pa'i dbang po drug rnams kyis ||
               bzung pa gang zhig 'jig rten gyis rtogs ste ||
               'jig rten nyid las bden </quote>
zhes bshad pas de'i steng du 'jig rten bas bden par byed pa de yang dag kun rdzob kyi mtshan nyid yin no gsung ||</seg>
               gnyis pa yul can shes pa'i log pa ni rab ris dang dmig ser lasogs pa</TEI>"
3_064_01_Khu_Slob dpon gyi lugs kyis bden pa gnyis.xml,3_064_01,,ex64012023-05-1212-06-26,unreviewed,8.8 - 8.9,"<TEI xmlns='http://www.tei-c.org/ns/1.0'><lb xmlns=""http://www.tei-c.org/ns/1.0"" n=""8.8""/>na migs rgyu la chur 'dzin pa lasogs pas log shes de dag kyang tshad mas grub par thal lo | |<seg xmlns=""http://www.tei-c.org/ns/1.0"" type=""excerpt"" xml:id=""ex64012023-05-1212-06-26"" status=""unreviewed""><rs type=""person"" ana=""corpusmd:unnamed_reference"" ref=""db:"">dge bshes</rs> kyi chos can mthun snang myed pa'i rigs pa gdu gdu ba ni chos can bya ba shes par 'dod pas khyad par du byas pa yin ba la rgol ba dngos por smra ba lasogs pa chos can snang ba rten 'brel 'di sgyu ma lta bu dang rang bzhin myed par shes par 'dod pa yod kyang | dbu ma bas snang ba rten 'brel 'di brdzun pa sgyu ma lta bu dang <lb n=""8.9""/> rang bzhin myed par rtogs zin pas shes 'dod myed pas chos can mthun snang myed do ||</seg></TEI>"
